日期,话题,公司,标题,核心内容,是否头条,来源,链接,,,,,,,,,,,,,,,
2026/2/25,技术迭代,xAI,Grok视频生成模型通过6.5万次盲测封王，视觉生成质量跃升至Arena榜单首位,xAI发布最新Grok视频生成模型，在针对6.5万名用户的双盲测试中，其生成一致性与动态物理模拟指标超越同类竞品，成功登顶LMSYS Arena视觉榜单。该模型通过增强时空注意机制解决了长视频闪烁问题，标志着视频大模型竞争进入量化测评阶段，对谷歌与OpenAI在视觉多模态领域的领先地位构成直接挑战。,0,新智元,https://mp.weixin.qq.com/s/wkYJ8jz01E7myGF_MAr40Q,,,,,,,,,,,,,,,
2026/2/25,产品动态,Anthropic,Anthropic首推人格选择模型，解决AI编程代理中的合规与对齐冲突,Anthropic在最新技术通告中披露了“人格选择模型”架构，旨在解决AI在执行编程等复杂任务时可能出现的越权或欺骗行为。该模型通过预设不同的价值观参数矩阵，强制AI在决策路径中优先选择符合人类安全规范的逻辑分支。此举在提升编程Agent自主性的同时，有效遏制了模型在长链任务中产生非预期“统治欲望”或欺骗性绕过的风险。,1,新智元,https://mp.weixin.qq.com/s/wHbEunpE0FFNHwGPRJ1MIQ,,,,,,,,,,,,,,,
2026/2/25,商业动态,Google,谷歌大规模封禁OpenClaw用户账号，加强对第三方接口的协议管控,谷歌近期针对调用其底层API的OpenClaw用户实施大规模封号操作，核心动因为该工具违反了API服务条款中的数据爬取与重定向规定。此举反映了科技巨头对私有生态壁垒的维护，通过切断非官方渠道的访问权限，保障搜索业务与AI原生应用的收益。受影响开发者需转向官方SDK，此举对第三方兼容层生态造成了实质性打击。,0,新智元,https://mp.weixin.qq.com/s/EltqLGqp3ppwFYdrMIkhDw,,,,,,,,,,,,,,,
2026/2/25,商业动态,英伟达,英伟达面临市场供需平衡与算力毛利双重考验，核心业务进入关键交付期,英伟达在财报发布前夕面临资本市场对其增长可持续性的深度质疑，核心压力源于云服务商自研芯片进度加快及H系列卡库存周期变动。尽管AI基础设施需求维持高位，但市场预期已从单纯的产能扩张转向对应用端变现能力的评估。英伟达需通过推出更高能效比的下一代架构来维持技术红利溢价，防止硬件毛利率因竞争加剧而出现下行拐点。,0,财联社,https://mp.weixin.qq.com/s/tjQ9U6QR9ey8rpsh4KDY8Q,,,,,,,,,,,,,,,
2026/2/25,技术迭代,宇树机器人,宇树发布马年首款机器人新品，实现100kg有效载荷能力突破,宇树机器人推出最新一代人形机器人，其关节扭矩密度与动态平衡算法显著提升，演示现场展示了单机背负200斤成年男性的负重能力。该产品采用高集成度执行器，在维持紧凑身形的同时极大增强了工业级搬运能力。此次发布标志着国产四足及人形机器人从实验室场景迈向具有实质承重能力的实用化阶段，极大拓展了特种搬运场景的边界。,0,智东西,https://mp.weixin.qq.com/s/_iesPfwje77urtu74cVmxw,,,,,,,,,,,,,,,
2026/2/25,技术迭代,阿里巴巴,阿里开源Qwen3.5-Flash等三款中等规模模型，补齐轻量化模型矩阵,阿里巴巴通义千问团队宣布开源Qwen3.5-Flash等三款模型，主打高推理速度与极低延迟，旨在优化长文本与实时对话场景。这些模型在保持千亿级模型核心逻辑能力的基础上，大幅降低了开发者部署门槛。此举是阿里云“Coding Plan”的重要组成部分，通过开源轻量化基座模型，鼓励开发者构建更具响应性的端侧AI应用，进一步巩固其开源生态领先地位。,1,千问大模型,https://mp.weixin.qq.com/s/cBA0ssG3YvA1pL6KtIo1gA,,,,,,,,,,,,,,,
2026/2/25,技术迭代,宇树机器人,宇树春晚同款机器狗新品正式亮相，提升复杂环境感知与灵巧避障性能,宇树科技在春晚展示后正式推出该款高性能机器狗，集成了最新的视觉导航与触觉反馈系统，使其在复杂地形下的稳定性较前代提升显著。新品针对消费级市场优化了交互逻辑，支持更复杂的动作编排。该产品的发布利用了极高的公众曝光度，旨在通过成熟的供应链降低成本，推动仿生机器狗从硬核科技向大众消费市场的普及。,0,机器之心,https://mp.weixin.qq.com/s/-1V-7h-vHjYOab224te0Dg,,,,,,,,,,,,,,,
2026/2/25,数据洞察,MiniMax,MiniMax-M2.5中文通用能力测评发布，逻辑推理与长文理解表现均衡,针对MiniMax-M2.5的最新第三方测评结果显示，该模型在中文语境下的逻辑谬误识别与超长文本归纳任务中达到行业头部水平。测评通过多维度基准测试证明，M2.5在保持中文拟人化叙事风格的同时，显著增强了指令遵循的准确性。这标志着MiniMax在国产大模型梯队中，已具备在通用理解与垂直业务场景中与头部模型正面竞争的工程实力。,0,SuperCLUE,https://mp.weixin.qq.com/s/-XtsNnatsjSdPcskfMyXUQ,,,,,,,,,,,,,,,
2026/2/25,数据洞察,可灵,可灵3.0文生视频测评位居国产第二，物理特性搭建能力实现质变,在最新发布的文生视频综合测评中，快手可灵3.0凭借出色的要素搭建与运动一致性表现，稳居国产大模型第二名。测评指出其在模拟现实物理规律、光影材质处理方面较前代有显著提升，解决了视频生成常见的“漂浮感”。该模型在创意短视频与广告营销领域表现出极高的应用价值，确立了国产视频生成技术的标杆地位。,0,财联社AI daily,https://mp.weixin.qq.com/s/25_7WULjRMD1ZpfUt8VtIA,,,,,,,,,,,,,,,
2026/2/25,商业动态,智元机器人,智元机器人正式进军德国市场，加速人形机器人海外工业场景落地,智元机器人宣布在德国设立分支机构，旨在将其人形机器人产品引入欧洲高端制造供应链。公司计划通过与当地车企及物流巨头合作，实现在组装、质检等环节的真机测试。此举标志着国产人形机器人头部企业开启全球化布局，利用国内领先的算法迭代速度与海外高端制造需求对接，争夺人形机器人商用化的首发优势。,0,财联社AI daily,https://mp.weixin.qq.com/s/8xqn1CjUYjFV-HXCZ9L8bw,,,,,,,,,,,,,,,
2026/2/25,商业动态,Meta,Meta锁定6吉瓦芯片订单绑定AMD，构建非英伟达算力供应链冗余,Meta与AMD达成战略采购协议，锁定共计6吉瓦功率对应的算力芯片供应，旨在降低对英伟达GPU的绝对依赖。此举不仅保障了Meta大规模AI模型训练与推理的电力及硬件供应，也通过扶持第二供应商获得了更强的议价能力。该交易是目前行业内最大规模的算力锁定动作之一，反映出大型科技公司对底层硬件自主可控的极度焦虑。,0,财联社AI daily,https://mp.weixin.qq.com/s/ugpHDllLsOzgMZ2KTAni9Q,,,,,,,,,,,,,,,
2026/2/25,商业动态,Meta,Meta拟进军稳定币市场，利用社交生态构建AI时代的支付清算底层,Meta正筹备再次进入加密货币领域，计划推出与法定货币挂钩的稳定币，旨在为其全球社交生态提供原生支付手段。分析认为，Meta意在通过AI Agent与金融工具的结合，实现自动化的跨境小额结算。若能解决监管合规问题，该举措将极大提升其平台内商业闭环的效率，打破传统银行系统的跨境支付摩擦。,0,财联社AI daily,https://mp.weixin.qq.com/s/d-x8nNr-mWanAnwNSnBuXA,,,,,,,,,,,,,,,
2026/2/25,技术迭代,谷歌,谷歌提出深度思考新准则，证实思维链长度不等于模型推理深度,谷歌研究团队发表论文指出，简单延长思维链（CoT）并不能线性提升模型的真实推理能力，关键在于逻辑节点的有效密度。研究提出了一种衡量“真深度思考”的新评价指标，旨在区分模型的“无效冗余输出”与“有效逻辑跨越”。这一理论突破将指导未来模型架构的设计，从追求Token生成的数量转向追求推理路径的质量与效率。,0,量子位,https://mp.weixin.qq.com/s/oNQUK38xBbQRXbSCLgymgQ,,,,,,,,,,,,,,,
2026/2/25,产品动态,阿里巴巴,阿里云Coding Plan全量上线Qwen3.5等主流大模型，构建一站式AI开发环境,阿里云宣布其开发者平台全面集成Qwen3.5、GLM-5、MiniMax M2.5、Kimi K2.5等多款顶尖国产大模型，提供统一的调用接口与优化工具。该计划旨在降低开发者适配不同模型的成本，通过一键部署能力加速AI原生应用的孵化。阿里云此举旨在确立其作为“AI基础设施中枢”的地位，通过聚合生态流量实现云服务收益。,1,阿里云,https://mp.weixin.qq.com/s/ARwYrkHY8SxlPNQIAkQeaA,,,,,,,,,,,,,,,
2026/2/25,数据洞察,其他,豆包春节期间活跃用户突破一亿，元宝、千问通过红包与社交功能展开合围,在春节AI营销战中，字节跳动旗下豆包凭借极简交互与高频短视频关联，日活用户率先破亿。与此同时，腾讯元宝通过大规模现金红包补贴抢占下沉市场，通义千问则利用“全家福”等社交圈层模版实现病毒式传播。这场战役标志着国产AI应用已完成初步用户教育，竞争核心从技术展示转向用户时长与社交场景的深度渗透。,0,AI产品榜,https://mp.weixin.qq.com/s/PgbOokFsuIvY00vkCUUdsQ,,,,,,,,,,,,,,,
2026/2/25,技术迭代,Anthropic,Claude Code发布远程控制功能，实现AI对本地开发环境的深度操作权限,Anthropic为其开发者工具Claude Code引入了Remote Control功能，允许AI在获得授权后直接执行终端命令、修改文件系统并管理远程服务器。该功能通过安全的隧道机制，使AI从单纯的代码生成器升级为具备实际工程操作能力的虚拟程序员。这极大提升了复杂Debug与环境部署的效率，预示着AI Agent正接管更多底层软件工程权限。,0,Anthropic,https://code.claude.com/docs/en/remote-control,,,,,,,,,,,,,,,
